recording_id,t,ball_id,x,y
rec_1,2.15,1,77.83,89.52
rec_1,2.15,2,167.69,200.86
rec_1,2.15,3,209.43,210.59
rec_1,2.15,4,287.96,18.36
rec_1,2.15,5,25.75,58.48
rec_1,2.15,6,254.13,87.7
rec_1,2.15,7,286.85,65.32
rec_1,2.15,8,27.44,180.66
rec_1,2.15,9,18.5,91.54
rec_1,2.2,0,173.65,268.2
rec_1,2.2,1,82.4,95.47
rec_1,2.2,2,171.67,207.21
rec_1,2.2,3,202.01,209.46
rec_1,2.2,4,280.5,18.25
rec_1,2.2,5,18.59,56.27
rec_1,2.2,6,247.38,90.97
rec_1,2.2,7,286.95,57.82
rec_1,2.2,8,21.61,175.95
rec_1,2.2,9,21.15,85.7
rec_1,2.25,0,172.09,260.87
rec_1,2.25,1,86.97,101.42
rec_1,2.25,2,175.41,213.71
rec_1,2.25,3,194.61,208.29
rec_1,2.25,4,273.03,18.9
rec_1,2.25,5,22.69,53.75
rec_1,2.25,6,240.63,94.24
rec_1,2.25,7,287.09,50.32
rec_1,2.25,8,19.95,171.24
rec_1,2.25,9,26.04,80.02
rec_1,2.3,0,170.51,253.54
rec_1,2.3,1,91.54,107.36
rec_1,2.3,2,178.72,220.44
rec_1,2.3,3,187.24,206.87
rec_1,2.3,4,265.54,19.32
rec_1,2.3,5,29.61,50.86
rec_1,2.3,6,233.87,97.51
rec_1,2.3,7,287.34,42.83
rec_1,2.3,8,25.78,166.53
rec_1,2.3,9,31.16,74.54
rec_1,2.35,0,168.82,246.23
rec_1,2.35,1,96.11,113.31
rec_1,2.35,2,181.73,227.31
rec_1,2.35,3,180.0,204.92
rec_1,2.35,4,258.05,19.52
rec_1,2.35,5,36.35,47.57
rec_1,2.35,6,227.12,100.77
rec_1,2.35,7,287.8,35.34
rec_1,2.35,8,31.62,161.82
rec_1,2.35,9,36.53,69.3
rec_1,2.4,0,166.73,239.03
rec_1,2.4,1,100.68,119.26
rec_1,2.4,2,184.94,234.09
rec_1,2.4,3,172.92,202.46
rec_1,2.4,4,250.55,19.6
rec_1,2.4,5,42.88,43.88
rec_1,2.4,6,220.37,104.04
rec_1,2.4,7,288.49,27.87
rec_1,2.4,8,37.45,157.11
rec_1,2.4,9,42.16,64.35
rec_1,2.45,0,164.05,232.03
rec_1,2.45,1,105.25,125.21
rec_1,2.45,2,188.58,240.65
rec_1,2.45,3,165.97,199.63
rec_1,2.45,4,243.05,19.63
rec_1,2.45,5,49.19,39.82
rec_1,2.45,6,213.62,107.31
rec_1,2.45,7,289.34,20.42
rec_1,2.45,8,43.29,152.4
rec_1,2.45,9,48.04,59.7
rec_1,2.5,0,160.96,225.19
rec_1,2.5,1,109.82,131.15
rec_1,2.5,2,192.46,247.07
rec_1,2.5,3,159.15,196.53
rec_1,2.5,4,235.55,19.66
rec_1,2.5,5,55.25,35.4
rec_1,2.5,6,206.87,110.58
rec_1,2.5,7,290.21,22.97
rec_1,2.5,8,49.12,147.68
rec_1,2.5,9,54.18,55.38
rec_1,2.55,0,157.67,218.45
rec_1,2.55,1,114.39,137.1
rec_1,2.55,2,196.4,253.44
rec_1,2.55,3,152.45,193.14
rec_1,2.55,4,228.05,19.69
rec_1,2.55,5,61.06,30.66
rec_1,2.55,6,200.12,113.85
rec_1,2.55,7,291.09,30.41
rec_1,2.55,8,54.96,142.97
rec_1,2.55,9,60.55,51.44
rec_1,2.6,0,154.28,211.76
rec_1,2.6,1,118.96,143.05
rec_1,2.6,2,200.35,259.82
rec_1,2.6,3,145.91,189.47
rec_1,2.6,4,220.55,19.72
rec_1,2.6,5,66.61,25.62
rec_1,2.6,6,193.37,117.11
rec_1,2.6,7,291.97,37.86
rec_1,2.6,8,60.79,138.26
rec_1,2.6,9,67.16,47.89
rec_1,2.65,0,150.84,205.1
rec_1,2.65,1,123.53,148.99
rec_1,2.65,2,204.29,266.2
rec_1,2.65,3,139.52,185.56
rec_1,2.65,4,213.05,19.75
rec_1,2.65,5,71.92,20.32
rec_1,2.65,6,186.62,120.38
rec_1,2.65,7,292.84,45.31
rec_1,2.65,8,66.63,133.55
rec_1,2.65,9,73.96,44.74
rec_1,2.7,0,147.42,198.42
rec_1,2.7,1,128.13,154.92
rec_1,2.7,2,208.24,272.58
rec_1,2.7,3,133.2,181.52
rec_1,2.7,4,205.55,19.78
rec_1,2.7,5,77.03,19.83
rec_1,2.7,6,179.87,123.65
rec_1,2.7,7,293.72,52.76
rec_1,2.7,8,72.47,128.84
rec_1,2.7,9,80.94,41.99
rec_1,2.75,0,144.1,191.7
rec_1,2.75,1,132.9,160.7
rec_1,2.75,2,212.18,278.96
rec_1,2.75,3,126.8,177.61
rec_1,2.75,4,198.05,19.81
rec_1,2.75,5,82.28,25.17
rec_1,2.75,6,173.12,126.92
rec_1,2.75,7,294.6,60.21
rec_1,2.75,8,78.3,124.13
rec_1,2.75,9,88.08,39.7
rec_1,2.8,0,140.95,184.89
rec_1,2.8,1,138.12,166.08
rec_1,2.8,2,216.13,285.34
rec_1,2.8,3,120.17,174.09
rec_1,2.8,4,190.55,19.84
rec_1,2.8,5,87.71,30.35
rec_1,2.8,6,166.37,130.19
rec_1,2.8,7,295.48,67.66
rec_1,2.8,8,84.14,119.42
rec_1,2.8,9,95.38,38.0
rec_1,2.85,0,137.89,178.04
rec_1,2.85,1,143.9,170.86
rec_1,2.85,2,220.07,291.71
